"","titulo","autor","precio","enlace","id_libro","editorial","paginas","anio","precio_pag"
"1","HABLEMOS DE DINERO","CASTELLI, SABRINA","37799.00","https://cuspide.com/producto/hablemos-de-dinero/",1,"VERGARA
","304
","01/01/2024
",124.338815789474
"2","PADRE RICO , PADRE POBRE (25 A/OS)","KIYOSAKI, ROBERT","26999.00","https://cuspide.com/producto/padre-rico-padre-pobre-25-a-os/",2,"DEBOLSILLO
","416
","01/01/2023
",64.9014423076923
"3","LA COCINA DE LA POLITICA ECONOMICA ARGENTINA","DE PABLO, JUAN CARLOS","38299.00","https://cuspide.com/producto/la-cocina-de-la-politica-economica-argentina/",3,"SUDAMERICANA
","320
","01/01/2024
",119.684375
"4","KAIZEN . EL METODO TOYOTA DE LA MEJORA CONTINUA","HERRERO, DANIEL","28900.00","https://cuspide.com/producto/kaizen-el-metodo-toyota-de-la-mejora-continua/",4,"PLANETA
","10
","01/01/2024
",2890
"5","CAPITALISMO , SOCIALISMO Y LA TRAMPA NEOCLASICA","MILEI, JAVIER","38900.00","https://cuspide.com/producto/capitalismo-socialismo-y-la-trampa-neoclasica/",5,"PLANETA
","376
","01/01/2024
",103.457446808511
"6","LA MEJOR MANERA DE INVERTIR","ROMERO MAIDANA, ALEJANDRO DANI...","38299.00","https://cuspide.com/producto/la-mejor-manera-de-invertir/",6,"VERGARA
","256
","01/01/2024
",149.60546875
"7","QUIEN SE HA LLEVADO MI QUESO ?","JOHNSON, SPENSER","30100.00","https://cuspide.com/producto/quien-se-ha-llevado-mi-queso/",7,"EMPRESA ACTIVA
","112
","01/01/2020
",268.75
"8","32 HISTORIAS QUE TODO LIDER DEBERIA LEER","ZUCHOVICKI, CLAUDIO; LOIDI, JO...","32900.00","https://cuspide.com/producto/32-historias-que-todo-lider-deberia-leer/",8,"PAIDOS
","208
","01/01/2025
",158.173076923077
"9","LOS PRIMEROS 90 DIAS","WATKINS, MICHAEL","15536.00","https://cuspide.com/producto/los-primeros-90-dias/",9,"REVERTE
","295
","01/01/2018
",52.664406779661
"10","SE TU PROPIO CEO","PICCIOLI, LEO","28600.00","https://cuspide.com/producto/se-tu-propio-ceo/",10,"EL ATENEO
","288
","01/01/2024
",99.3055555555556
"11","TRAGUESE ESE SAPO! ED. REVISADA","TRACY, BRIAN","22200.00","https://cuspide.com/producto/traguese-ese-sapo-ed-revisada/",11,"EMPRESA ACTIVA
","10
","01/01/2023
",2220
"12","LOS SECRETOS DETRAS DE LA MAGIA","LOIDI, JONATAN; GONZALEZ, JULI...","34000.00","https://cuspide.com/producto/los-secretos-detras-de-la-magia/",12,"LEA
","320
","01/01/2024
",106.25
"13","PROXI + 50","CAMPANARIO, SEBASTIAN","28999.00","https://cuspide.com/producto/proxi-50/",13,"SUDAMERICANA
","192
","01/01/2024
",151.036458333333
"14","ARGENPLATA","TARRES, JULIETA","37799.00","https://cuspide.com/producto/argenplata/",14,"SUDAMERICANA
","256
","01/01/2024
",147.65234375
"15","EL LIDER QUE NO TENIA CARGO","SHARMA, ROBIN","26599.00","https://cuspide.com/producto/el-lider-que-no-tenia-cargo/",15,"DEBOLSILLO
","272
","01/01/2013
",97.7904411764706
"16","PADRE RICO , PADRE POBRE ( 25 AÑOS )","KIYOSAKI, ROBERT T.","38299.00","https://cuspide.com/producto/padre-rico-padre-pobre-25-anos/",16,"AGUILAR
","416
","01/01/2023
",92.0649038461538
"17","EL PODER DE SER VALIOSOS","SCHWARZENEGGER, ARNOLD","24000.00","https://cuspide.com/producto/el-poder-de-ser-valiosos/",17,"EMPRESA ACTIVA
","192
","01/01/2023
",125
"18","POR QUE FRACASAN LOS PAISES ?","ACEMOGLU, DARON","27900.00","https://cuspide.com/producto/por-que-fracasan-los-paises/",18,"BOOKET
","608
","01/01/2024
",45.8881578947368
"19","ESTUCHE HBR 20 MINUTOS : PRINCIPIOS BASICOS",NA,"39841.00","https://cuspide.com/producto/estuche-hbr-20-minutos-principios-basicos/",19,"REVERTE
","394
","01/01/2024
",101.119289340102
"20","ENAMORATE DEL PROBLEMA NO DE LA SOLUCION","LEVINE, URI","47900.00","https://cuspide.com/producto/enamorate-del-problema-no-de-la-solucion/",20,"PAIDOS
","448
","01/01/2023
",106.919642857143
"21","INQUEBRANTABLE","ROBBINS, TONY","28900.00","https://cuspide.com/producto/inquebrantable/",21,"BOOKET
","272
","01/01/2023
",106.25
"22","DIARIO DE UN CEO","BARTLETT, STEVEN","33600.00","https://cuspide.com/producto/diario-de-un-ceo/",22,"EMPRESA ACTIVA
","368
","01/01/2024
",91.304347826087
"23","EMPIEZA CON EL PORQUE","SINEK, SIMON","43900.00","https://cuspide.com/producto/empieza-con-el-porque/",23,"EMPRESA ACTIVA
","264
","01/01/2020
",166.287878787879
"24","HABITOS MILLONARIOS","HILL, NAPOLEON","19900.00","https://cuspide.com/producto/habitos-millonarios/",24,"Del Fondo Editorial
","150
","01/01/2023
",132.666666666667
"25","LA ACTITUD MENTAL POSITIVA","HILL, NAPOLEON","28599.00","https://cuspide.com/producto/la-actitud-mental-positiva/",25,"DEBOLSILLO
","416
","01/01/2023
",68.7475961538462
"26","NUEVAS COMPETENCIAS DE COACHING APLICADAS","GOLDVARG, DAMIAN","34400.00","https://cuspide.com/producto/nuevas-competencias-de-coaching-aplicadas/",26,"GRANICA
","240
","01/01/2021
",143.333333333333
"27","EL CUADRANTE DEL FLUJO DEL DINERO","KIYOSAKI, ROBERT T.","26999.00","https://cuspide.com/producto/el-cuadrante-del-flujo-del-dinero/",27,"DEBOLSILLO
","360
","01/01/2019
",74.9972222222222
"28","LA PSICOLOGIA DEL DINERO VERANO 2024-2025","HOUSEL, MORGAN","18900.00","https://cuspide.com/producto/la-psicologia-del-dinero-verano-2024-2025/",28,"BOOKET
","320
","01/01/2024
",59.0625
"29","DE INVISIBLE A INVENCIBLE","NUEZ, VILMA","43900.00","https://cuspide.com/producto/de-invisible-a-invencible/",29,"PAIDOS
","288
","01/01/2024
",152.430555555556
"30","EL ARTE DE SUBIR ( Y BAJAR ) LA MONTAÑA","PEA, MARCOS","27190.00","https://cuspide.com/producto/el-arte-de-subir-y-bajar-la-montana/",30,"SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","256
","01/01/2024
",106.2109375
"31","EL CAMINO DEL LOBO","BELFORT, JORDAN","29900.00","https://cuspide.com/producto/el-camino-del-lobo/",31,"OCEANO
","216
","01/01/2019
",138.425925925926
"32","LOS 7 HABITOS DE LA GENTE ALTAMENTE EFECTIVA","COVEY, STEPHEN R .","28900.00","https://cuspide.com/producto/los-7-habitos-de-la-gente-altamente-efectiva/",32,"BOOKET
","576
","01/01/2024
",50.1736111111111
"33","DESACTIVAR LA BOMBA","HATUM, ANDRES","26999.00","https://cuspide.com/producto/desactivar-la-bomba/",33,"VERGARA
","144
","01/01/2024
",187.493055555556
"34","MARKETING HUMANISTICO –  HUMAN TO HUMAN H2H","KOTLER, PHILIP","30500.00","https://cuspide.com/producto/marketing-humanistico-human-to-human-h2h/",34,"LID
","256
","01/01/2024
",119.140625
"35","STEVE JOBS  LECCIONES DE LIDERAZGO","ISAACSON, WALTER","28999.00","https://cuspide.com/producto/steve-jobs-lecciones-de-liderazgo/",35,"DEBATE
","112
","01/01/2013
",258.919642857143
"36","GPS EMPRENDEDOR","KLINKO, JOY; GOLDSTEIN, LUCIAN...","28000.00","https://cuspide.com/producto/gps-emprendedor/",36,"A.Z EDITORA
","304
","01/01/2023
",92.1052631578947
"37","MENTALIDAD PARA INVERTIR","BATTISTA, MATIAS","20900.00","https://cuspide.com/producto/mentalidad-para-invertir/",37,"Del Fondo Editorial
","162
","01/01/2025
",129.012345679012
"38","EXPERIMENTO LIBERTARIO","AGOSTINELLI, GUIDO","37799.00","https://cuspide.com/producto/experimento-libertario/",38,"AGUILAR
","288
","01/01/2024
",131.246527777778
"39","EL LIBRO NEGRO DEL EMPRENDEDOR","TRIAS DE BES, FERNANDO","22300.00","https://cuspide.com/producto/el-libro-negro-del-emprendedor-2/",39,"EMPRESA ACTIVA
","192
","01/01/2024
",116.145833333333
"40","MARKETING EMPRESARIAL","KOTLER, PHILIP","47900.00","https://cuspide.com/producto/marketing-empresarial/",40,"GRANICA
","390
","01/01/2024
",122.820512820513
"41","GUIA PARA INVERTIR","KIYOSAKI, ROBERT T.","35199.00","https://cuspide.com/producto/guia-para-invertir/",41,"DEBOLSILLO
","672
","01/01/2023
",52.3794642857143
"42","AMAZON DESATADO","STONE, BRAD","30300.00","https://cuspide.com/producto/amazon-desatado/",42,"INDICIOS
","448
","01/01/2022
",67.6339285714286
"43","DIALOGOS CON EL CAPITAL DE MARX","PUIG SOLE, ANTONI","3100.00","https://cuspide.com/producto/dialogos-con-el-capital-de-marx/",43,"NUEVOS TIEMPOS
","368
","01/01/2015
",8.42391304347826
"44","MEJOR NO HABLAR DE CIERTAS COSAS","HATUM, ANDRES","30500.00","https://cuspide.com/producto/mejor-no-hablar-de-ciertas-cosas/",44,"GRANICA
","10
","01/01/2025
",3050
"45","TU MEJOR INVERSION","ALONSO, ELENA","22900.00","https://cuspide.com/producto/tu-mejor-inversion/",45,"GALERNA
","176
","01/01/2024
",130.113636363636
"46","CREA TU SEGUNDO CEREBRO.","FORTE, TIAGO","31109.50","https://cuspide.com/producto/crea-tu-segundo-cerebro/",46,"REVERTE
","288
","01/01/2024
",108.019097222222
"47","OPTIMAL","GOLEMAN, DANIEL; CHERNISS, CAR...","38299.00","https://cuspide.com/producto/optimal/",47,"EDICIONES B
","320
","01/01/2024
",119.684375
"48","ROMPE LA BARRERA DEL NO","VOSS, CHRIS","37799.00","https://cuspide.com/producto/rompe-la-barrera-del-no/",48,"CONECTA
","352
","01/01/2016
",107.383522727273
"49","DOLARIZACION – SOLUCION PARA ARGENTINA",NA,"42000.00","https://cuspide.com/producto/dolarizacion-solucion-para-argentina/",49,"CLARIDAD
","448
","01/01/2022
",93.75
"50","115 DIAS PARA DESARMAR LA BOMBA","REMES LENICOV, JORGE LUIS","35900.00","https://cuspide.com/producto/115-dias-para-desarmar-la-bomba/",50,"ARIEL
","224
","01/01/2023
",160.267857142857
"51","PIENSE Y HAGASE RICO . EL LEGADO","HILL, NAPOLEON","29900.00","https://cuspide.com/producto/piense-y-hagase-rico-el-legado/",51,"Del Fondo Editorial
","350
","01/01/2022
",85.4285714285714
"52","COMPUTOS Y PRESUPUESTOS","CHANDIAS, MARIO E.; RAMOS, JOS...","48000.00","https://cuspide.com/producto/computos-y-presupuestos/",52,"ALSINA
","464
","01/01/2009
",103.448275862069
"53","100 SECRETOS DE INNOVACION","RUA, MARTINA","35699.00","https://cuspide.com/producto/100-secretos-de-innovacion/",53,"CONECTA
","224
","01/01/2025
",159.370535714286
"54","ENTENDER PARA GANAR","STAMATEAS, SOFIA","24500.00","https://cuspide.com/producto/entender-para-ganar/",54,"QUELEER S.A.
","350
","01/01/2025
",70
"55","ANTIMARKETING","CHEVALLIER, ANGIE","21900.00","https://cuspide.com/producto/antimarketing/",55,"QUELEER S.A.
","10
","01/01/2024
",2190
"56","SLOW PRODUCTIVITY","NEWPORT, CAL","23398.00","https://cuspide.com/producto/slow-productivity/",56,"REVERTE
","10
","01/01/2024
",2339.8
"57","VENDELE A LA MENTE , NO A LA GENTE","KLARIC, JURGEN","27900.00","https://cuspide.com/producto/vendele-a-la-mente-no-a-la-gente/",57,"BOOKET
","240
","01/01/2023
",116.25
"58","PALABRAS MAGICAS","BERGER, JONAH","31147.00","https://cuspide.com/producto/palabras-magicas-3/",58,"REVERTE
","10
","01/01/2024
",3114.7
"59","QUIEN SE HA LLEVADO MI QUESO ?","JOHNSON, SPENSER","30100.00","https://cuspide.com/producto/quien-se-ha-llevado-mi-queso-2/",59,"EMPRESA ACTIVA
","112
","01/01/2024
",268.75
"60","ECONOMIA","PEREZ ENRRI, DANIEL","8500.00","https://cuspide.com/producto/economia-2/",60,"ERREPAR
","80
","01/01/2007
",106.25
"61","EL FIN DE LA INFLACION","MILEI, JAVIER","31900.00","https://cuspide.com/producto/el-fin-de-la-inflacion/",61,"PLANETA
","184
","01/01/2023
",173.369565217391
"62","FINANZAS PARA EMPRESAS COMPETITIVAS","MONDINO, DIANA","41200.00","https://cuspide.com/producto/finanzas-para-empresas-competitivas/",62,"GRANICA
","10
","01/01/2023
",4120
"63","INCREMENTA TU IQ FINANCIERO","KIYOSAKI, ROBERT T.","26999.00","https://cuspide.com/producto/incrementa-tu-iq-financiero/",63,"DEBOLSILLO
","280
","01/01/2022
",96.425
"64","FUNDAMENTOS DE ECONOMIA","KRUGMAN, PAUL","73332.00","https://cuspide.com/producto/fundamentos-de-economia/",64,"REVERTE
","10
","01/01/2022
",7333.2
"65","COMO CREAR UN PLAN DE NEGOCIO",NA,"17237.00","https://cuspide.com/producto/como-crear-un-plan-de-negocio/",65,"REVERTE
","10
","01/01/2021
",1723.7
"66","TECNOFEUDALISMO","VAROUFAKIS, YANIS","33900.00","https://cuspide.com/producto/tecnofeudalismo/",66,"ARIEL
","264
","01/01/2024
",128.409090909091
"67","VENDETE ANTES DE VENDER","SANCHEZ, MERY","21900.00","https://cuspide.com/producto/vendete-antes-de-vender/",67,"EL ATENEO
","176
","01/01/2024
",124.431818181818
"68","LIDERAZGO + HUMANO","MELAMED, ALEJANDRO","42900.00","https://cuspide.com/producto/liderazgo-humano/",68,"PAIDOS
","344
","01/01/2024
",124.709302325581
"69","EMPRENDE TU PROPIO NEGOCIO","TRACY, BRIAN","24699.00","https://cuspide.com/producto/emprende-tu-propio-negocio/",69,"DEBOLSILLO
","224
","01/01/2024
",110.263392857143
"70","EL SANTO GRIAL DE LA INVERSION","ROBBINS, TONY","39900.00","https://cuspide.com/producto/el-santo-grial-de-la-inversion/",70,"PAIDOS
","368
","01/01/2024
",108.423913043478
"71","LIDERA !","CARNEGIE, DALE","26999.00","https://cuspide.com/producto/lidera/",71,"SUDAMERICANA
","224
","01/01/2024
",120.53125
"72","MOTOSIERRA Y CONFUSION","D' ALESSANDRO, MERCEDES","37799.00","https://cuspide.com/producto/motosierra-y-confusion/",72,"SUDAMERICANA
","256
","01/01/2024
",147.65234375
"73","IMPROVISA","POYNTON, ROBERT","20500.00","https://cuspide.com/producto/improvisa/",73,"KOAN
","160
","01/01/2024
",128.125
"74","VALUACION DE EMPRESAS","TAPIA, GUSTAVO; AIRE, CARLOS; ...","5000.00","https://cuspide.com/producto/valuacion-de-empresas/",74,"OMICRON SYSTEM
","224
","01/01/2012
",22.3214285714286
"75","LLEVATE BIEN CON TU BILLETERA","ALICHE, TIFFANY","26500.00","https://cuspide.com/producto/llevate-bien-con-tu-billetera/",75,"VERA
","432
","01/01/2024
",61.3425925925926
"76","CLARIN ACTUALIZADO","NAFRIA, ISMAEL","52252.00","https://cuspide.com/producto/clarin-actualizado/",76,"GALAXIA GUTENBERG
","536
","01/01/2023
",97.4850746268657
"77","LAS 16 LEYES DE LA COMUNICACION","MAXWELL, JOHN","37799.00","https://cuspide.com/producto/las-16-leyes-de-la-comunicacion/",77,"CONECTA
","328
","01/01/2023
",115.240853658537
"78","VIVIR LA COMUNICACION NO VIOLENTA","ROSENBERG, MARSHALL B.","31200.00","https://cuspide.com/producto/vivir-la-comunicacion-no-violenta/",78,"SIRIO
","288
","01/01/2023
",108.333333333333
"79","CONFIAR E INSPIRAR","COVEY, STEPHEN M.R.","43900.00","https://cuspide.com/producto/confiar-e-inspirar/",79,"PAIDOS
","368
","01/01/2023
",119.29347826087
"80","EL GRAN ESCAPE","DEATON, ANGUS","23500.00","https://cuspide.com/producto/el-gran-escape/",80,"FONDO DE CULTURA ECONOMICA
","404
","01/01/2015
",58.1683168316832
"81","INTELIGENCIA EMOCIONAL EN LA EMPRESA","NACHTIGALL, PABLO","32900.00","https://cuspide.com/producto/inteligencia-emocional-en-la-empresa/",81,"GRANICA
","224
","01/01/2018
",146.875
"82","EMPRESAS CENTRADAS EN LAS PERSONAS","CARRERA, ALEJANDRO","34600.00","https://cuspide.com/producto/empresas-centradas-en-las-personas/",82,"GRANICA
","10
","01/01/2025
",3460
"83","EL ESTADO EMPRENDEDOR","MAZZUCATO, MARIANA","33999.00","https://cuspide.com/producto/el-estado-emprendedor/",83,"TAURUS
","360
","01/01/2022
",94.4416666666667
"84","EL LOBO DE LAS INVERSIONES","BELFORT, JORDAN","34100.00","https://cuspide.com/producto/el-lobo-de-las-inversiones/",84,"OCEANO
","312
","01/01/2024
",109.294871794872
"85","POR QUE EL CAPITALISMO PUEDE SOÑAR Y NOSOTROS NO ?","GALLIANO, ALEJANDRO","18990.00","https://cuspide.com/producto/por-que-el-capitalismo-puede-sonar-y-nosotros-no/",85,"SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","200
","01/01/2024
",94.95
"86","EL MUNDO DE LAS CRIPTOMONEDAS ( BLOCKCHAIN ) Y OTROS MEDIOS DE PAGO","FASOLA, ERNESTO","35000.00","https://cuspide.com/producto/el-mundo-de-las-criptomonedas-blockchain-y-otros-medios-de-pago/",86,"DAIN USINA CULTURAL
","140
","01/01/2024
",250
"87","LA ECONOMIA ARGENTINA","FERRER, ALDO","39000.00","https://cuspide.com/producto/la-economia-argentina/",87,"FONDO DE CULTURA ECONOMICA
","488
","01/01/2022
",79.9180327868852
"88","MANAGEMENT EN 20 MINUTOS : COMO DELEGAR",NA,"15536.00","https://cuspide.com/producto/management-en-20-minutos-como-delegar/",88,"REVERTE
","10
","01/01/2024
",1553.6
"89","TU PLANIFICADOR DE HORARIOS","NEWPORT, CAL","15536.00","https://cuspide.com/producto/tu-planificador-de-horarios/",89,"REVERTE
","10
","01/01/2024
",1553.6
"90","PNL – MAPAS PARA EL CAMBIO","PLATCHA, GABRIEL","22500.00","https://cuspide.com/producto/pnl-mapas-para-el-cambio/",90,"ALBATROS
","10
","01/01/2024
",2250
"91","ALMA EMPRENDEDORA","SUAREZ DRATMAN, VIRGINIA","24500.00","https://cuspide.com/producto/alma-emprendedora/",91,"Del Fondo Editorial
","214
","01/01/2024
",114.485981308411
"92","EL METODO DE VENTAS","HILL, NAPOLEON","26500.00","https://cuspide.com/producto/el-metodo-de-ventas/",92,"Del Fondo Editorial
","298
","01/01/2024
",88.9261744966443
"93","POR QUE LOS RICOS SE VUELVEN MAS RICOS","KIYOSAKI, ROBERT T.","26999.00","https://cuspide.com/producto/por-que-los-ricos-se-vuelven-mas-ricos/",93,"DEBOLSILLO
","384
","01/01/2022
",70.3098958333333
"94","CRISIS & CO .COMO GESTIONAR LA INCERTIDUMBRE DE NUESTRA EPOCA","KIECZKIER, EZEQUIEL","31990.00","https://cuspide.com/producto/crisis-co-como-gestionar-la-incertidumbre-de-nuestra-epoca/",94,"TEMAS GRUPO EDITORIAL
","192
","01/01/2023
",166.614583333333
"95","ECONOMIA DE A PIE","DE PACE, DAMIAN","18900.00","https://cuspide.com/producto/economia-de-a-pie/",95,"EUDEBA
","144
","01/01/2020
",131.25
"96","UNA BREVE HISTORIA DE LA IGUALDAD","PIKETTY, THOMAS","36900.00","https://cuspide.com/producto/una-breve-historia-de-la-igualdad/",96,"PAIDOS
","296
","01/01/2022
",124.662162162162
"97","QUE ES LA ECONOMIA POPULAR ? EXPERIENCIAS ,VOCES Y DEBATES","GRABOIS, JUAN","22000.00","https://cuspide.com/producto/que-es-la-economia-popular-experiencias-voces-y-debates/",97,"EL COLECTIVO
","224
","01/01/2022
",98.2142857142857
"98","EL DILEMA DE LOS INNOVADORES","CHRISTENSEN, CLAYTON M.","46800.00","https://cuspide.com/producto/el-dilema-de-los-innovadores/",98,"GRANICA
","368
","01/01/2022
",127.173913043478
"99","RELACIONES DE PODER EN LA OFICINA",NA,"11885.00","https://cuspide.com/producto/relaciones-de-poder-en-la-oficina/",99,"REVERTE
","192
","01/01/2018
",61.9010416666667
"100","PLANIFICACION PATRIMONIAL PARA CELEBRITIES","LITWAK, MARTIN","21099.00","https://cuspide.com/producto/planificacion-patrimonial-para-celebrities/",100,"MUSIC BROKERS
","268
","01/01/2021
",78.7276119402985
"101","GESTION DE LA COMUNICACION PARA ORGANIZACIONES","ETKIN, EUGENIA","22500.00","https://cuspide.com/producto/gestion-de-la-comunicacion-para-organizaciones-2/",101,"LA CRUJIA
","10
","01/01/2021
",2250
"102","START-UP NATION","SENOR, DAN; SINGER, SAUL","41700.00","https://cuspide.com/producto/start-up-nation/",102,"PREVENLIGHT
","360
","01/01/2012
",115.833333333333
"103","EL FUTURO DEL COMERCIO QUE SE VIENE","DI PACE, DAMIAN","28300.00","https://cuspide.com/producto/el-futuro-del-comercio-que-se-viene/",103,"EMPRESA ACTIVA
","304
","01/01/2022
",93.0921052631579
"104","GIRANDO LA RUEDA","COLLINS, JIM","15800.50","https://cuspide.com/producto/girando-la-rueda/",104,"REVERTE
","64
","01/01/2021
",246.8828125
