"","editorial","paginas","anio","id_libro"
"1","VERGARA
","304
","01/01/2024
",1
"2","DEBOLSILLO
","416
","01/01/2023
",2
"3","SUDAMERICANA
","320
","01/01/2024
",3
"4","PLANETA
","10
","01/01/2024
",4
"5","PLANETA
","376
","01/01/2024
",5
"6","VERGARA
","256
","01/01/2024
",6
"7","EMPRESA ACTIVA
","112
","01/01/2020
",7
"8","PAIDOS
","208
","01/01/2025
",8
"9","REVERTE
","295
","01/01/2018
",9
"10","EL ATENEO
","288
","01/01/2024
",10
"11","EMPRESA ACTIVA
","10
","01/01/2023
",11
"12","LEA
","320
","01/01/2024
",12
"13","SUDAMERICANA
","192
","01/01/2024
",13
"14","SUDAMERICANA
","256
","01/01/2024
",14
"15","DEBOLSILLO
","272
","01/01/2013
",15
"16","AGUILAR
","416
","01/01/2023
",16
"17","EMPRESA ACTIVA
","192
","01/01/2023
",17
"18","BOOKET
","608
","01/01/2024
",18
"19","REVERTE
","394
","01/01/2024
",19
"20","PAIDOS
","448
","01/01/2023
",20
"21","BOOKET
","272
","01/01/2023
",21
"22","EMPRESA ACTIVA
","368
","01/01/2024
",22
"23","EMPRESA ACTIVA
","264
","01/01/2020
",23
"24","Del Fondo Editorial
","150
","01/01/2023
",24
"25","DEBOLSILLO
","416
","01/01/2023
",25
"26","GRANICA
","240
","01/01/2021
",26
"27","DEBOLSILLO
","360
","01/01/2019
",27
"28","BOOKET
","320
","01/01/2024
",28
"29","PAIDOS
","288
","01/01/2024
",29
"30","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","256
","01/01/2024
",30
"31","OCEANO
","216
","01/01/2019
",31
"32","BOOKET
","576
","01/01/2024
",32
"33","VERGARA
","144
","01/01/2024
",33
"34","LID
","256
","01/01/2024
",34
"35","DEBATE
","112
","01/01/2013
",35
"36","A.Z EDITORA
","304
","01/01/2023
",36
"37","Del Fondo Editorial
","162
","01/01/2025
",37
"38","AGUILAR
","288
","01/01/2024
",38
"39","EMPRESA ACTIVA
","192
","01/01/2024
",39
"40","GRANICA
","390
","01/01/2024
",40
"41","DEBOLSILLO
","672
","01/01/2023
",41
"42","INDICIOS
","448
","01/01/2022
",42
"43","NUEVOS TIEMPOS
","368
","01/01/2015
",43
"44","GRANICA
","10
","01/01/2025
",44
"45","GALERNA
","176
","01/01/2024
",45
"46","REVERTE
","288
","01/01/2024
",46
"47","EDICIONES B
","320
","01/01/2024
",47
"48","CONECTA
","352
","01/01/2016
",48
"49","CLARIDAD
","448
","01/01/2022
",49
"50","ARIEL
","224
","01/01/2023
",50
"51","Del Fondo Editorial
","350
","01/01/2022
",51
"52","ALSINA
","464
","01/01/2009
",52
"53","CONECTA
","224
","01/01/2025
",53
"54","QUELEER S.A.
","350
","01/01/2025
",54
"55","QUELEER S.A.
","10
","01/01/2024
",55
"56","REVERTE
","10
","01/01/2024
",56
"57","BOOKET
","240
","01/01/2023
",57
"58","REVERTE
","10
","01/01/2024
",58
"59","EMPRESA ACTIVA
","112
","01/01/2024
",59
"60","ERREPAR
","80
","01/01/2007
",60
"61","PLANETA
","184
","01/01/2023
",61
"62","GRANICA
","10
","01/01/2023
",62
"63","DEBOLSILLO
","280
","01/01/2022
",63
"64","REVERTE
","10
","01/01/2022
",64
"65","REVERTE
","10
","01/01/2021
",65
"66","ARIEL
","264
","01/01/2024
",66
"67","EL ATENEO
","176
","01/01/2024
",67
"68","PAIDOS
","344
","01/01/2024
",68
"69","DEBOLSILLO
","224
","01/01/2024
",69
"70","PAIDOS
","368
","01/01/2024
",70
"71","SUDAMERICANA
","224
","01/01/2024
",71
"72","SUDAMERICANA
","256
","01/01/2024
",72
"73","KOAN
","160
","01/01/2024
",73
"74","OMICRON SYSTEM
","224
","01/01/2012
",74
"75","VERA
","432
","01/01/2024
",75
"76","GALAXIA GUTENBERG
","536
","01/01/2023
",76
"77","CONECTA
","328
","01/01/2023
",77
"78","SIRIO
","288
","01/01/2023
",78
"79","PAIDOS
","368
","01/01/2023
",79
"80","FONDO DE CULTURA ECONOMICA
","404
","01/01/2015
",80
"81","GRANICA
","224
","01/01/2018
",81
"82","GRANICA
","10
","01/01/2025
",82
"83","TAURUS
","360
","01/01/2022
",83
"84","OCEANO
","312
","01/01/2024
",84
"85","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","200
","01/01/2024
",85
