"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"EL HOMBRE MAS RICO DE BABILONIA","Clason George",19500,"https://www.yenny-elateneo.com/productos/el-hombre-mas-rico-de-babilonia/","Del Fondo Editorial","Tapa Blanda",172,"04/2022",113.372093023256,2022
"32 HISTORIAS QUE TODO LIDER DEBERIA LEER","Claudio Zuchovicki / Jonatan Marcos Loidi",32900,"https://www.yenny-elateneo.com/productos/32-historias-que-todo-lider-deberia-leer/","Paidos","Tapa Blanda",208,"04/2025",158.173076923077,2025
"LAS 48 LEYES DEL PODER","Robert Greene",42700,"https://www.yenny-elateneo.com/productos/las-48-leyes-del-poder/","Oceano","Tapa Blanda",632,"05/2019",67.5632911392405,2019
"TECNOFEUDALISMO","Yanis Varoufakis",33900,"https://www.yenny-elateneo.com/productos/tecnofeudalismo1/","Ariel","Tapa Blanda",264,"06/2024",128.409090909091,2024
"LOS SECRETOS DE LA MENTE MILLONARIA","T. Harv Eker",34200,"https://www.yenny-elateneo.com/productos/los-secretos-de-la-mente-millonaria/","Sirio","Tapa Blanda",256,"05/2017",133.59375,2017
"HABLEMOS DE DINERO","Sabrina Castelli",37799,"https://www.yenny-elateneo.com/productos/hablemos-de-dinero/","Vergara","Tapa Blanda",304,"10/2024",124.338815789474,2024
"ROMPE LA BARRERA DEL NO","Chris Voss",26799,"https://www.yenny-elateneo.com/productos/rompe-la-barrera-del-no1/","Debols!llo","Tapa Blanda",352,"11/2023",76.1335227272727,2023
"DE LA INCERTIDUMBRE A LA ABUNDANCIA","Gabriela Totaro",24500,"https://www.yenny-elateneo.com/productos/de-la-incertidumbre-a-la-abundancia/","Errepar","Tapa Blanda",296,"01/2025",82.7702702702703,2025
"PENSAR RAPIDO PENSAR DESPACIO","Daniel Kahneman",52399,"https://www.yenny-elateneo.com/productos/pensar-rapido-pensar-despacio/","Debate","Tapa Blanda",672,"06/2012",77.9747023809524,2012
"ARGENTINA FEDERAL","Martin Redrado / Jose Urtubey",35699,"https://www.yenny-elateneo.com/productos/argentina-federal/","Sudamericana","Tapa Blanda",256,"04/2025",139.44921875,2025
"INQUEBRANTABLE","Tony J. Robbins",28900,"https://www.yenny-elateneo.com/productos/inquebrantable/","Booket","Tapa Blanda",272,"01/2023",106.25,2023
"EMPRENDE TU PROPIO NEGOCIO","Brian Tracy",24699,"https://www.yenny-elateneo.com/productos/emprende-tu-propio-negocio/","Debols!llo","Tapa Blanda",224,"01/2025",110.263392857143,2025
"PENSAR RAPIDO PENSAR DESPACIO","Daniel Kahneman",36299,"https://www.yenny-elateneo.com/productos/pensar-rapido-pensar-despacio1/","Debols!llo","Tapa Blanda",672,"01/2025",54.0163690476191,2025
"MBA - GUIA VISUAL","Jason Barron",29300,"https://www.yenny-elateneo.com/productos/mba-guia-visual/","Oceano","Tapa Blanda",208,"03/2021",140.865384615385,2021
"QUIEN SE HA LLEVADO MI QUESO?","Spencer Johnson",30100,"https://www.yenny-elateneo.com/productos/quien-se-ha-llevado-mi-queso/","Empresa Activa","Tapa Blanda",NA,"11/2020",NA,2020
"COCINA DE LA POLITICA ECONOMICA ARGENTIN","Juan Carlos De Pablo / Ezequiel Burgo",38299,"https://www.yenny-elateneo.com/productos/cocina-de-la-politica-economica-argentin/","Sudamericana","Tapa Blanda",320,"05/2024",119.684375,2024
"EL METODO SCALPER","Lady Market",45000,"https://www.yenny-elateneo.com/productos/el-metodo-scalper/","Capital Ediciones","Tapa Blanda",262,"01/2025",171.75572519084,2025
"DIARIO DE UN CEO","Steven Berlett",33600,"https://www.yenny-elateneo.com/productos/diario-de-un-ceo/","Empresa Activa","Tapa Blanda",386,"05/2024",87.0466321243523,2024
"INMUEBLES Y FAMILIA","Santiago Mantilla / Pedro Vazquez",51700,"https://www.yenny-elateneo.com/productos/inmuebles-y-familia/","Lid","Tapa Blanda",176,"11/2024",293.75,2024
