"","titulo","autor","precio","enlace","id_libro"
"1","HABLEMOS DE DINERO","CASTELLI, SABRINA","$ 37.799,00","https://cuspide.com/producto/hablemos-de-dinero/",1
"2","PADRE RICO , PADRE POBRE (25 A/OS)","KIYOSAKI, ROBERT","$ 26.999,00","https://cuspide.com/producto/padre-rico-padre-pobre-25-a-os/",2
"3","LA COCINA DE LA POLITICA ECONOMICA ARGENTINA","DE PABLO, JUAN CARLOS","$ 38.299,00","https://cuspide.com/producto/la-cocina-de-la-politica-economica-argentina/",3
"4","KAIZEN . EL METODO TOYOTA DE LA MEJORA CONTINUA","HERRERO, DANIEL","$ 28.900,00","https://cuspide.com/producto/kaizen-el-metodo-toyota-de-la-mejora-continua/",4
"5","CAPITALISMO , SOCIALISMO Y LA TRAMPA NEOCLASICA","MILEI, JAVIER","$ 38.900,00","https://cuspide.com/producto/capitalismo-socialismo-y-la-trampa-neoclasica/",5
"6","LA MEJOR MANERA DE INVERTIR","ROMERO MAIDANA, ALEJANDRO DANI...","$ 38.299,00","https://cuspide.com/producto/la-mejor-manera-de-invertir/",6
"7","QUIEN SE HA LLEVADO MI QUESO ?","JOHNSON, SPENSER","$ 30.100,00","https://cuspide.com/producto/quien-se-ha-llevado-mi-queso/",7
"8","32 HISTORIAS QUE TODO LIDER DEBERIA LEER","ZUCHOVICKI, CLAUDIO; LOIDI, JO...","$ 32.900,00","https://cuspide.com/producto/32-historias-que-todo-lider-deberia-leer/",8
"9","LOS PRIMEROS 90 DIAS","WATKINS, MICHAEL","$ 15.536,00","https://cuspide.com/producto/los-primeros-90-dias/",9
"10","SE TU PROPIO CEO","PICCIOLI, LEO","$ 28.600,00","https://cuspide.com/producto/se-tu-propio-ceo/",10
"11","TRAGUESE ESE SAPO! ED. REVISADA","TRACY, BRIAN","$ 22.200,00","https://cuspide.com/producto/traguese-ese-sapo-ed-revisada/",11
"12","LOS SECRETOS DETRAS DE LA MAGIA","LOIDI, JONATAN; GONZALEZ, JULI...","$ 34.000,00","https://cuspide.com/producto/los-secretos-detras-de-la-magia/",12
"13","PROXI + 50","CAMPANARIO, SEBASTIAN","$ 28.999,00","https://cuspide.com/producto/proxi-50/",13
"14","ARGENPLATA","TARRES, JULIETA","$ 37.799,00","https://cuspide.com/producto/argenplata/",14
"15","EL LIDER QUE NO TENIA CARGO","SHARMA, ROBIN","$ 26.599,00","https://cuspide.com/producto/el-lider-que-no-tenia-cargo/",15
"16","PADRE RICO , PADRE POBRE ( 25 AÑOS )","KIYOSAKI, ROBERT T.","$ 38.299,00","https://cuspide.com/producto/padre-rico-padre-pobre-25-anos/",16
"17","EL PODER DE SER VALIOSOS","SCHWARZENEGGER, ARNOLD","$ 24.000,00","https://cuspide.com/producto/el-poder-de-ser-valiosos/",17
"18","POR QUE FRACASAN LOS PAISES ?","ACEMOGLU, DARON","$ 27.900,00","https://cuspide.com/producto/por-que-fracasan-los-paises/",18
"19","ESTUCHE HBR 20 MINUTOS : PRINCIPIOS BASICOS",NA,"$ 39.841,00","https://cuspide.com/producto/estuche-hbr-20-minutos-principios-basicos/",19
"20","ENAMORATE DEL PROBLEMA NO DE LA SOLUCION","LEVINE, URI","$ 47.900,00","https://cuspide.com/producto/enamorate-del-problema-no-de-la-solucion/",20
"21","INQUEBRANTABLE","ROBBINS, TONY","$ 28.900,00","https://cuspide.com/producto/inquebrantable/",21
"22","DIARIO DE UN CEO","BARTLETT, STEVEN","$ 33.600,00","https://cuspide.com/producto/diario-de-un-ceo/",22
"23","EMPIEZA CON EL PORQUE","SINEK, SIMON","$ 43.900,00","https://cuspide.com/producto/empieza-con-el-porque/",23
"24","HABITOS MILLONARIOS","HILL, NAPOLEON","$ 19.900,00","https://cuspide.com/producto/habitos-millonarios/",24
"25","LA ACTITUD MENTAL POSITIVA","HILL, NAPOLEON","$ 28.599,00","https://cuspide.com/producto/la-actitud-mental-positiva/",25
"26","NUEVAS COMPETENCIAS DE COACHING APLICADAS","GOLDVARG, DAMIAN","$ 34.400,00","https://cuspide.com/producto/nuevas-competencias-de-coaching-aplicadas/",26
"27","EL CUADRANTE DEL FLUJO DEL DINERO","KIYOSAKI, ROBERT T.","$ 26.999,00","https://cuspide.com/producto/el-cuadrante-del-flujo-del-dinero/",27
"28","LA PSICOLOGIA DEL DINERO VERANO 2024-2025","HOUSEL, MORGAN","$ 18.900,00","https://cuspide.com/producto/la-psicologia-del-dinero-verano-2024-2025/",28
"29","DE INVISIBLE A INVENCIBLE","NUEZ, VILMA","$ 43.900,00","https://cuspide.com/producto/de-invisible-a-invencible/",29
"30","EL ARTE DE SUBIR ( Y BAJAR ) LA MONTAÑA","PEA, MARCOS","$ 27.190,00","https://cuspide.com/producto/el-arte-de-subir-y-bajar-la-montana/",30
"31","EL CAMINO DEL LOBO","BELFORT, JORDAN","$ 29.900,00","https://cuspide.com/producto/el-camino-del-lobo/",31
"32","LOS 7 HABITOS DE LA GENTE ALTAMENTE EFECTIVA","COVEY, STEPHEN R .","$ 28.900,00","https://cuspide.com/producto/los-7-habitos-de-la-gente-altamente-efectiva/",32
"33","DESACTIVAR LA BOMBA","HATUM, ANDRES","$ 26.999,00","https://cuspide.com/producto/desactivar-la-bomba/",33
"34","MARKETING HUMANISTICO –  HUMAN TO HUMAN H2H","KOTLER, PHILIP","$ 30.500,00","https://cuspide.com/producto/marketing-humanistico-human-to-human-h2h/",34
"35","STEVE JOBS  LECCIONES DE LIDERAZGO","ISAACSON, WALTER","$ 28.999,00","https://cuspide.com/producto/steve-jobs-lecciones-de-liderazgo/",35
"36","GPS EMPRENDEDOR","KLINKO, JOY; GOLDSTEIN, LUCIAN...","$ 28.000,00","https://cuspide.com/producto/gps-emprendedor/",36
"37","MENTALIDAD PARA INVERTIR","BATTISTA, MATIAS","$ 20.900,00","https://cuspide.com/producto/mentalidad-para-invertir/",37
"38","EXPERIMENTO LIBERTARIO","AGOSTINELLI, GUIDO","$ 37.799,00","https://cuspide.com/producto/experimento-libertario/",38
