"titulo","autor","precio","enlace"
"EL HOMBRE MAS RICO DE BABILONIA","Clason George","$19.500,00","https://www.yenny-elateneo.com/productos/el-hombre-mas-rico-de-babilonia/"
"32 HISTORIAS QUE TODO LIDER DEBERIA LEER","Claudio Zuchovicki / Jonatan Marcos Loidi","$32.900,00","https://www.yenny-elateneo.com/productos/32-historias-que-todo-lider-deberia-leer/"
"LAS 48 LEYES DEL PODER","Robert Greene","$42.700,00","https://www.yenny-elateneo.com/productos/las-48-leyes-del-poder/"
"TECNOFEUDALISMO","Yanis Varoufakis","$33.900,00","https://www.yenny-elateneo.com/productos/tecnofeudalismo1/"
"LOS SECRETOS DE LA MENTE MILLONARIA","T. Harv Eker","$34.200,00","https://www.yenny-elateneo.com/productos/los-secretos-de-la-mente-millonaria/"
"HABLEMOS DE DINERO","Sabrina Castelli","$37.799,00","https://www.yenny-elateneo.com/productos/hablemos-de-dinero/"
"ROMPE LA BARRERA DEL NO","Chris Voss","$26.799,00","https://www.yenny-elateneo.com/productos/rompe-la-barrera-del-no1/"
"DE LA INCERTIDUMBRE A LA ABUNDANCIA","Gabriela Totaro","$24.500,00","https://www.yenny-elateneo.com/productos/de-la-incertidumbre-a-la-abundancia/"
"PENSAR RAPIDO PENSAR DESPACIO","Daniel Kahneman","$52.399,00","https://www.yenny-elateneo.com/productos/pensar-rapido-pensar-despacio/"
"ARGENTINA FEDERAL","Martin Redrado / Jose Urtubey","$35.699,00","https://www.yenny-elateneo.com/productos/argentina-federal/"
"INQUEBRANTABLE","Tony J. Robbins","$28.900,00","https://www.yenny-elateneo.com/productos/inquebrantable/"
"EMPRENDE TU PROPIO NEGOCIO","Brian Tracy","$24.699,00","https://www.yenny-elateneo.com/productos/emprende-tu-propio-negocio/"
"PENSAR RAPIDO PENSAR DESPACIO","Daniel Kahneman","$36.299,00","https://www.yenny-elateneo.com/productos/pensar-rapido-pensar-despacio1/"
"MBA - GUIA VISUAL","Jason Barron","$29.300,00","https://www.yenny-elateneo.com/productos/mba-guia-visual/"
"QUIEN SE HA LLEVADO MI QUESO?","Spencer Johnson","$30.100,00","https://www.yenny-elateneo.com/productos/quien-se-ha-llevado-mi-queso/"
"COCINA DE LA POLITICA ECONOMICA ARGENTIN","Juan Carlos De Pablo / Ezequiel Burgo","$38.299,00","https://www.yenny-elateneo.com/productos/cocina-de-la-politica-economica-argentin/"
"EL METODO SCALPER","Lady Market","$45.000,00","https://www.yenny-elateneo.com/productos/el-metodo-scalper/"
"DIARIO DE UN CEO","Steven Berlett","$33.600,00","https://www.yenny-elateneo.com/productos/diario-de-un-ceo/"
"INMUEBLES Y FAMILIA","Santiago Mantilla / Pedro Vazquez","$51.700,00","https://www.yenny-elateneo.com/productos/inmuebles-y-familia/"
"LAS CINCO DISFUNCIONES DE UN EQUIPO","Patrick Lencioni","$33.800,00","https://www.yenny-elateneo.com/productos/las-cinco-disfunciones-de-un-equipo/"
"HERRAMIENTAS PARA LIDERES DEL SIGLO XXI","Paula Molinari","$31.990,00","https://www.yenny-elateneo.com/productos/herramientas-para-lideres-del-siglo-xxi/"
"GUIA ARGENTINA DE FRANQUICIAS 2025","Roberto Russo","$40.000,00","https://www.yenny-elateneo.com/productos/guia-argentina-de-franquicias-2025/"
"DIRIGIR CON INTELIGENCIA EMOCIONAL","Albert Alegre Rosello","$27.740,76","https://www.yenny-elateneo.com/productos/dirigir-con-inteligencia-emocional/"
"SENTIDO DE LIDER","Alberto Sanjurjo","$26.000,00","https://www.yenny-elateneo.com/productos/sentido-de-lider1/"
"PIENSE Y HAGASE RICO. EL LEGADO","Napoleon Hill","$29.900,00","https://www.yenny-elateneo.com/productos/piense-y-hagase-rico-el-legado/"
"VENDELE A LA MENTE NO A LA GENTE","Jurgen Klaric","$27.900,00","https://www.yenny-elateneo.com/productos/vendele-a-la-mente-no-a-la-gente/"
"ARTE DE LA SEDUCCION EL - N.E","Robert Greene","$42.700,00","https://www.yenny-elateneo.com/productos/arte-de-la-seduccion-el-n-e/"
"STEVE JOBS. LECCIONES DE LIDERAZGO","Walter Isaacson","$28.999,00","https://www.yenny-elateneo.com/productos/steve-jobs-lecciones-de-liderazgo/"
"MALA LECHE","Soledad Barruti","$29.900,00","https://www.yenny-elateneo.com/productos/mala-leche1/"
"100 SECRETOS DE INNOVACION","Martina Rua","$35.699,00","https://www.yenny-elateneo.com/productos/100-secretos-de-innovacion/"
"COMO DAR UN FEEDBACK EFECTIVO","Harvard Business Review","$10.662,80","https://www.yenny-elateneo.com/productos/como-dar-un-feedback-efectivo/"
"COMO GESTIONAR LA RELACIÓN CON TU SUPERIOR","Harvard Business Review","$10.662,80","https://www.yenny-elateneo.com/productos/como-gestionar-la-relacion-con-tu-superior/"
"LA ACTITUD MENTAL POSITIVA","Napoleon Hill / W. Clement Stone","$28.599,00","https://www.yenny-elateneo.com/productos/la-actitud-mental-positiva/"
"MENTE MILLONARIA","Gerardo Garcia Manjarrez","$20.500,00","https://www.yenny-elateneo.com/productos/mente-millonaria/"
"LOS SECRETOS DE LA MENTE MILLONARIA ED 20 ANIVERSARIO","T. Harv Eker","$40.500,00","https://www.yenny-elateneo.com/productos/los-secretos-de-la-mente-millonaria-ed-20-aniversario/"
"DIRIGIR Y MOTIVAR EQUIPOS","Miguel Angel Aguirre Sanchez","$28.492,40","https://www.yenny-elateneo.com/productos/dirigir-y-motivar-equipos/"
"EL METODO SMART BREVITY","Jim Vandehei / Mike Allen / Roy Schwartz","$24.500,00","https://www.yenny-elateneo.com/productos/el-metodo-smart-brevity/"
"RETIRATE JOVEN Y RICO","Robert T. Kiyosaki","$30.899,00","https://www.yenny-elateneo.com/productos/retirate-joven-y-rico/"
"LIBRO NEGRO DEL EMPRENDEDOR EL (NE)","Fernando Trias De Bes","$22.300,00","https://www.yenny-elateneo.com/productos/libro-negro-del-emprendedor-el-ne/"
"SIGUEME. EL PODER DE UN VERDADERO LIDER","John C. Maxwell","$20.000,00","https://www.yenny-elateneo.com/productos/sigueme-el-poder-de-un-verdadero-lider/"
"POR QUE LOS RICOS SE VUELVEN MAS RICOS","Robert T. Kiyosaki","$26.999,00","https://www.yenny-elateneo.com/productos/por-que-los-ricos-se-vuelven-mas-ricos/"
"ACTITUD MENTAL POSITIVA","Napoleon Hill / W. Clement Stone","$30.900,00","https://www.yenny-elateneo.com/productos/actitud-mental-positiva/"
"ENTENDER PARA GANAR","Sofia Stamateas","$24.500,00","https://www.yenny-elateneo.com/productos/entender-para-ganar/"
"EMPRENDER","Dan Kieran","$20.500,00","https://www.yenny-elateneo.com/productos/emprender/"
"VOLVER A KEYNES","Axel Kicillof","$31.990,00","https://www.yenny-elateneo.com/productos/volver-a-keynes/"
"PRODUCTIVIDAD FEEL GOOD","Ali Abdaal","$30.900,00","https://www.yenny-elateneo.com/productos/productividad-feel-good/"
"GIRANDO LA RUEDA","Jim Collins","$15.732,00","https://www.yenny-elateneo.com/productos/girando-la-rueda/"
"LIDERANDO EQUIPOS","Harvard Business Review","$27.968,00","https://www.yenny-elateneo.com/productos/liderando-equipos/"
"FELICIDAD","Harvard Business Review","$10.837,60","https://www.yenny-elateneo.com/productos/felicidad1/"
"LIDERES EXTRAORDINARIOS QUE CAMBIARON EL MUNDO","Tomas Perez Herrera","$42.500,00","https://www.yenny-elateneo.com/productos/lideres-extraordinarios-que-cambiaron-el-mundo/"
"LA RIQUEZA DE LAS NACIONES","Adam Smith","$30.170,48","https://www.yenny-elateneo.com/productos/la-riqueza-de-las-naciones1/"
"EL SANTO GRIAL DE LA INVERSION","Christopher Zook / Tony J. Robbins","$39.900,00","https://www.yenny-elateneo.com/productos/el-santo-grial-de-la-inversion/"
"EL LOBO DE LAS INVERSIONES","Jordan Belfort","$34.100,00","https://www.yenny-elateneo.com/productos/el-lobo-de-las-inversiones/"
"¿JUGAMOS?","Claudio Guz","$34.990,00","https://www.yenny-elateneo.com/productos/jugamos2/"
"QUIEN SE HA LLEVADO MI QUESO (NE)","Spencer Johnson","$30.100,00","https://www.yenny-elateneo.com/productos/quien-se-ha-llevado-mi-queso-ne/"
"LIDERA CON GRATITUD","Adrian Gostick / Chester Elton","$23.000,00","https://www.yenny-elateneo.com/productos/lidera-con-gratitud/"
"MARKETING EMPRESARIAL","Phillip Kotler","$47.900,00","https://www.yenny-elateneo.com/productos/marketing-empresarial/"
"INCREMENTA TU IQ FINANCIERO","Robert T. Kiyosaki","$26.999,00","https://www.yenny-elateneo.com/productos/incrementa-tu-iq-financiero/"
