"result.editorial","result.encuadernacion","result.paginas","result.publicacion"
Del Fondo Editorial,Tapa Blanda,N° 172,04/2022
Paidos,Tapa Blanda,N° 208,04/2025
Oceano,Tapa Blanda,N° 632,05/2019
Ariel,Tapa Blanda,N° 264,06/2024
Sirio,Tapa Blanda,N° 256,05/2017
Vergara,Tapa Blanda,N° 304,10/2024
Debols!llo,Tapa Blanda,N° 352,11/2023
Errepar,Tapa Blanda,N° 296,01/2025
Debate,Tapa Blanda,N° 672,06/2012
Sudamericana,Tapa Blanda,N° 256,04/2025
Booket,Tapa Blanda,N° 272,01/2023
Debols!llo,Tapa Blanda,N° 224,01/2025
Debols!llo,Tapa Blanda,N° 672,01/2025
Oceano,Tapa Blanda,N° 208,03/2021
Empresa Activa,Tapa Blanda,NA,11/2020
Sudamericana,Tapa Blanda,N° 320,05/2024
Capital Ediciones,Tapa Blanda,N° 262,01/2025
Empresa Activa,Tapa Blanda,N° 386,05/2024
Lid,Tapa Blanda,N° 176,11/2024
Empresa Activa,Tapa Blanda,N° 224,04/2023
Temas Grupo Editorial Srl,Tapa Blanda,N° 224,03/2025
Best De Argentina,Tapa Blanda,N° 362,01/2025
Piramide,Tapa Blanda,N° 168,05/2021
Autores Editores,Tapa Blanda,N° 264,03/2024
Del Fondo Editorial,Tapa Blanda,N° 350,08/2022
Booket,Tapa Blanda,N° 240,08/2023
Oceano,Tapa Blanda,N° 588,07/2023
Debate,Tapa Blanda,N° 112,05/2014
Siglo Xxi Editores Argentina,Tapa Blanda,N° 432,11/2024
Conecta,Tapa Blanda,N° 224,04/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Debols!llo,Tapa Blanda,N° 416,01/2024
V & R Editoras,Tapa Blanda,NA,03/2019
Editorial Sirio,Tapa Blanda,N° 280,04/2025
Piramide,Tapa Blanda,N° 210,01/2018
Koan,Tapa Blanda,N° 224,09/2024
Debols!llo,Tapa Blanda,N° 576,06/2024
Empresa Activa,Tapa Blanda,N° 192,05/2024
V & R Editoras,Tapa Blanda,N° 160,02/2024
Debols!llo,Tapa Blanda,N° 384,08/2022
Del Fondo Editorial,Tapa Blanda,N° 366,04/2022
Galerna,Tapa Blanda,N° 192,04/2025
Koan,Tapa Blanda,N° 128,03/2025
Siglo Xxi Editores Argentina,Tapa Blanda,N° 496,03/2025
Planeta,Tapa Blanda,N° 288,01/2025
Reverte,Tapa Blanda,N° 50,07/2022
Reverte,Tapa Blanda,N° 181,07/2022
Reverte,Tapa Blanda,N° 192,05/2018
Profit,Tapa Blanda,N° 202,11/2024
Alianza,Tapa Blanda,N° 814,08/2011
Paidos,Tapa Blanda,N° 368,11/2024
Oceano,Tapa Blanda,N° 312,11/2024
Temas Grupo Editorial Srl,Tapa Blanda,N° 228,10/2024
Empresa Activa,Tapa Blanda,N° 112,05/2024
V & R Editoras,Tapa Blanda,N° 304,04/2024
Granica,Tapa Blanda,N° 390,04/2024
Debols!llo,Tapa Blanda,N° 280,05/2022
El Ateneo,Tapa Blanda,N° 256,10/2023
Profit,Tapa Blanda,N° 224,12/2017
Granica,Tapa Blanda,N° 352,04/2025
Granica,Tapa Blanda,N° 180,04/2025
Granica,Tapa Blanda,N° 240,02/2025
Siglo Xxi Editores Argentina,Tapa Blanda,N° 464,01/2025
Empresa Activa,Tapa Blanda,N° 256,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,N° 175,07/2022
Reverte,Tapa Blanda,N° 107,07/2022
Siglo Xxi Editores Argentina,Tapa Blanda,N° 424,09/2002
Piramide,Tapa Blanda,N° 372,08/2022
Granica,Tapa Blanda,N° 220,11/2024
Sudamericana,Tapa Blanda,N° 256,10/2024
Sudamericana,Tapa Blanda,N° 144,08/2024
Koan,Tapa Blanda,N° 160,07/2024
Grijalbo,Tapa Blanda,N° 200,03/2024
Reverte,Tapa Blanda,N° 243,07/2022
Reverte,Tapa Blanda,N° 235,07/2022
Granica,Tapa Blanda,N° 664,06/2022
Claridad,Tapa Blanda,N° 448,05/2022
Music Brokers Argentina,Tapa Blanda,N° 268,01/2022
Dunken,Tapa Blanda,NA,08/2021
Empresa Activa,Tapa Blanda,N° 192,11/2023
Emprenbooks,Tapa Blanda,NA,09/2023
Emprenbooks,Tapa Blanda,NA,09/2023
El Ateneo,Tapa Blanda,N° 256,09/2023
V & R Editoras,Tapa Blanda,N° 224,08/2023
Ediciones Urano,Tapa Blanda,N° 224,08/2023
Oceano,Tapa Blanda,N° 236,02/2021
Sudamericana,Tapa Blanda,N° 224,02/2023
Debols!llo,Tapa Blanda,N° 672,01/2023
Oceano,Tapa Blanda,N° 216,04/2019
Hojas Del Sur,Tapa Blanda,NA,05/2017
Granica,Tapa Blanda,N° 432,12/2016
Granica,Tapa Blanda,N° 432,09/2016
Granica,Tapa Blanda,N° 264,12/2015
Temas Grupo Editorial Srl,Tapa Dura,N° 274,08/2010
Editorial El Ateneo,Tapa Blanda,N° 160,06/2025
Ediciones Andinas,Tapa Blanda,N° 224,06/2025
Paidos,Tapa Blanda,N° 744,01/2020
Paidos,Tapa Blanda,N° 256,08/2017
Arpa,Tapa Blanda,N° 288,04/2025
Profit,Tapa Blanda,N° 128,04/2025
Profit,Tapa Blanda,N° 192,04/2025
Editorial Sirio,Tapa Blanda,N° 256,04/2025
Oceano,Tapa Blanda,N° 304,01/2025
Penguin Books,Tapa Blanda,NA,01/2025
Taurus,Tapa Blanda,N° 408,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Reverte,Tapa Blanda,NA,01/2025
Profit,Tapa Blanda,N° 128,12/2024
Reverte,Tapa Blanda,N° 274,07/2022
Reverte,Tapa Blanda,N° 188,12/2018
Reverte,Tapa Blanda,N° 201,05/2017
Reverte,Tapa Blanda,N° 190,05/2017
Reverte,Tapa Blanda,N° 170,12/2019
Reverte,Tapa Blanda,N° 190,05/2017
Piramide,Tapa Blanda,N° 314,12/2018
Ampersand,Tapa Blanda,N° 302,10/2024
Lid,Tapa Blanda,N° 216,06/2022
Dunken,Tapa Blanda,NA,09/2024
Mucho Gusto,Tapa Blanda,N° 248,12/2022
Turner,Tapa Dura,N° 492,06/2023
Empresa Activa,Tapa Blanda,N° 312,09/2024
Temas Grupo Editorial Srl,Tapa Blanda,N° 136,08/2024
Lea,Tapa Blanda,N° 192,08/2024
Empresa Activa,Tapa Blanda,N° 256,08/2024
Taurus,Tapa Blanda,N° 456,05/2024
Vergara,Tapa Blanda,N° 144,05/2024
Fondo De Cultura Economica,Tapa Blanda,N° 472,05/2024
Oceano,Tapa Blanda,N° 216,04/2024
Ediciones Urano,Tapa Blanda,N° 288,04/2024
Siglo Xxi Editores Argentina,Tapa Blanda,N° 216,04/2024
Ugerman Editor,Tapa Blanda,N° 242,03/2024
V & R Editoras,Tapa Blanda,N° 432,03/2024
Oceano,Tapa Blanda,NA,02/2024
Conecta,Tapa Blanda,N° 240,02/2024
Ciccus,Tapa Blanda,N° 344,01/2024
Hojas Del Sur,Tapa Blanda,N° 160,06/2022
Galerna,Tapa Blanda,N° 224,04/2022
Del Fondo Editorial,Tapa Blanda,N° 300,04/2022
Empresa Activa,Tapa Blanda,N° 304,04/2022
Tendencias,Tapa Blanda,N° 384,04/2022
Del Fondo Editorial,Tapa Blanda,N° 300,03/2022
Profit,Tapa Blanda,N° 192,03/2022
Dunken,Tapa Blanda,NA,01/2022
Editorial Sb,Tapa Blanda,N° 480,09/2023
Az,Tapa Blanda,N° 304,08/2023
Granica,Tapa Blanda,N° 216,07/2023
Paidos,Tapa Blanda,N° 232,07/2023
Reverte,Tapa Blanda,NA,05/2023
Un Mate,Tapa Blanda,N° 250,03/2021
Aguilar,Tapa Blanda,N° 584,05/2023
Planeta,Tapa Blanda,N° 184,04/2023
Urano,Tapa Blanda,N° 208,04/2023
Siglo Xxi Editores Argentina,Tapa Blanda,N° 240,04/2023
Del Fondo - Citadel,Tapa Blanda,N° 306,04/2023
Continente,Tapa Blanda,N° 288,08/2020
Profit,Tapa Blanda,N° 304,03/2020
Lenguaje Claro,Tapa Blanda,N° 184,01/2023
Debols!llo,Tapa Blanda,N° 208,01/2020
V & R Editoras,Tapa Blanda,N° 272,11/2019
Del Fondo Editorial,Tapa Blanda,N° 256,11/2022
Profit,Tapa Blanda,N° 336,01/2018
Temas Grupo Editorial Srl,Tapa Blanda,N° 176,12/2017
Galerna,Tapa Blanda,N° 564,05/2019
Debols!llo,Tapa Blanda,N° 376,04/2019
Conecta,Tapa Blanda,N° 224,06/2018
Plataforma Editorial,Tapa Blanda,N° 206,04/2015
Lenguaje Claro,Tapa Blanda,N° 384,07/2014
Granica,Tapa Blanda,N° 768,07/2014
Granica,Tapa Blanda,N° 488,05/2014
Alianza,Tapa Blanda,N° 272,12/2012
Debols!llo,Tapa Blanda,N° 288,11/2012
Granica,Tapa Blanda,N° 344,02/2010
Siglo Xxi Editores Argentina,Tapa Blanda,N° 456,06/2004
Temas Grupo Editorial Srl,Espiralado,N° 342,09/2012
V & R Editoras,Tapa Blanda,N° 136,06/2025
V & R Editoras,Tapa Blanda,N° 112,06/2025
Aguilar,Tapa Blanda,N° 280,06/2025
Siglantana,Tapa Blanda,N° 276,06/2025
Profit,Tapa Blanda,N° 264,06/2025
Amat,Tapa Blanda,N° 188,06/2025
Amat,Tapa Blanda,N° 208,06/2025
Granica,Tapa Blanda,N° 472,06/2025
Hoepli,Tapa Blanda,N° 208,06/2025
Hoepli,Tapa Blanda,N° 176,06/2025
Hoepli,Tapa Blanda,N° 280,06/2025
Hoepli,Tapa Blanda,N° 288,06/2025
